"","CPSID","CPSIDP","public_housing","age","female","race","marital_status","veteran","employed","education","worked_last_year","total_income_last_year","wage_income_last_year","own_farm_income_last_year","private_health_insurance","medicaid","class_of_worker","class_of_worker_last_year","union","earnings"
"28526",20171205139200,20171205139201,NA,41,0,1,4,0,1,91,1,60546,60000,0,0,0,28,28,0,1900
"28547",20171205138100,20171205138101,NA,41,1,1,6,0,1,81,1,49000,49000,0,1,0,21,22,0,590
"28548",20171205138100,20171205138102,NA,19,1,1,6,0,1,81,1,18000,10000,0,1,0,21,22,0,200
"28555",20181205045900,20181205045901,NA,64,0,1,1,0,1,111,1,151001,101000,0,1,0,21,22,0,2525
"28556",20181205045900,20181205045902,NA,63,1,1,1,0,1,73,1,25900,25000,0,1,0,21,22,0,280
"28574",20181205044500,20181205044501,NA,51,0,1,1,0,1,111,1,129150,129000,0,1,0,21,22,0,2115
"28575",20181205044500,20181205044502,NA,50,1,1,1,0,1,81,1,31113,31000,0,1,0,21,22,0,660
"28577",20181205047900,20181205047902,0,46,0,1,1,0,1,73,1,16610,10000,0,1,0,21,22,1,1720
"28583",20171205140200,20171205140201,0,40,1,1,4,0,1,91,1,47200,28000,0,1,1,21,22,0,840
"28584",20171205140200,20171205140205,0,22,1,1,6,0,1,73,1,20000,20000,0,0,1,21,22,0,342
"28585",20171205140200,20171205140204,0,17,1,1,6,0,1,50,0,0,0,0,0,1,21,0,0,144
"28597",20181205045700,20181205045701,0,37,1,1,4,0,1,91,1,9164,7500,0,0,1,21,22,0,300
"28613",20171205129100,20171205129101,0,49,1,1,1,0,1,73,1,55506,49000,0,1,0,21,22,0,396
"28614",20171205129100,20171205129102,0,49,0,1,1,0,1,73,1,78300,78300,0,1,0,21,22,0,769
"28616",20171205096500,20171205096502,NA,33,1,1,1,0,1,92,1,60007,60000,0,1,0,21,22,0,1154
"28620",20171205122200,20171205122201,NA,68,1,1,4,0,1,81,1,49126,36000,0,1,0,21,22,0,692
"28621",20171205122200,20171205122203,NA,20,0,1,6,0,1,73,1,50000,50000,0,1,0,21,22,0,557
"28622",20171205122200,20171205122202,NA,46,0,1,1,0,1,60,1,30000,30000,0,1,0,21,22,0,1942
"28623",20171205122200,20171205122204,NA,47,1,1,1,0,1,73,1,28560,28560,0,1,0,28,28,0,557
"28655",20181205025700,20181205025701,NA,38,0,1,4,0,1,81,1,71501,71000,0,1,0,21,22,0,1820
"28658",20181205035900,20181205035901,NA,36,0,1,1,0,1,81,1,56202,56000,0,1,0,21,22,0,1200
"28659",20181205035900,20181205035902,NA,35,1,1,1,0,1,111,1,35006,35000,0,1,0,21,22,0,800
"28689",20181205037300,20181205037301,0,40,1,1,2,0,1,73,1,28400,23600,0,1,0,21,22,0,440
"28690",20181205037300,20181205037304,0,17,0,8,6,0,1,60,1,4000,4000,0,0,1,21,22,0,102
"28692",20181205037300,20181205037305,0,20,1,1,6,0,1,60,1,20000,20000,0,0,1,21,22,0,342
"28714",20171205135200,20171205135202,NA,68,0,1,1,1,1,111,1,58886,18000,0,1,0,27,27,0,400
"28715",20171205112300,20171205112301,NA,46,0,1,1,0,1,92,1,112011,112000,0,1,0,21,22,0,2121
"28718",20171205108500,20171205108501,0,62,1,1,3,0,1,73,1,30862,28000,0,1,0,21,22,1,780
"28736",20181205024000,20181205024001,NA,38,0,1,6,0,1,111,1,60104,60000,0,1,0,27,27,0,1442
"28738",20181205024000,20181205024005,NA,39,1,1,4,0,1,73,1,45001,45000,0,1,1,21,22,0,860
"28740",20181205024000,20181205024004,NA,59,1,1,3,0,1,73,1,18001,18000,0,0,1,21,22,0,333
"28748",20171205127800,20171205127802,NA,79,0,1,1,0,1,125,1,142872,100000,0,0,0,21,22,0,883
"28814",20171205129500,20171205129501,NA,31,1,1,1,0,1,73,1,43509,43500,0,1,1,21,22,0,800
"28831",20181205015900,20181205015901,0,32,0,1,1,0,1,111,1,29500,29000,0,1,1,28,28,1,750
"28836",20181205042000,20181205042002,NA,32,1,1,1,0,1,73,1,40001,40000,0,1,0,21,22,0,585
"28862",20181205041100,20181205041101,NA,40,1,1,1,0,1,91,1,130040,130000,0,1,0,21,27,0,1000
"28863",20181205041100,20181205041102,NA,40,0,1,1,0,1,81,1,64000,64000,0,1,0,21,14,0,1500
"28866",20181205027400,20181205027401,NA,56,0,1,6,0,1,123,1,60801,60000,0,1,0,28,27,1,1231
"28892",20171205106200,20171205106201,NA,36,0,1,1,0,1,123,1,67025,67000,0,1,0,28,28,1,1288
"28893",20171205106200,20171205106202,NA,35,1,1,1,0,1,111,1,75025,75000,0,1,0,21,22,0,1442
"28898",20171205126000,20171205126002,NA,58,1,1,1,0,1,123,1,57171,57161,0,1,0,21,22,0,323
"28899",20171205105100,20171205105101,NA,56,1,1,1,0,1,123,1,103100,103000,0,1,0,27,27,0,1981
"28900",20171205105100,20171205105102,NA,60,0,1,1,0,1,111,1,139600,139500,0,1,0,21,22,0,2596
"28933",20181205035000,20181205035001,0,62,1,1,4,0,1,91,1,50633,50000,0,1,0,21,22,0,500
"28944",20171205113400,20171205113401,1,41,1,1,1,0,1,91,1,24000,20000,0,1,0,21,22,1,450
"28945",20171205113400,20171205113402,1,42,0,1,1,0,1,81,1,28000,28000,0,1,0,27,27,1,350
"28987",20181205026600,20181205026601,NA,68,0,1,1,0,1,125,1,142872,100000,0,1,0,21,22,0,769
"29077",20181204952400,20181204952402,NA,43,1,1,1,0,1,123,1,62010,62000,0,1,0,28,28,0,1250
"29078",20181204952400,20181204952404,NA,17,1,1,6,0,1,60,1,4420,4420,0,1,0,21,22,0,180
"29084",20181204913600,20181204913601,NA,51,1,1,4,0,1,92,1,107005,104000,0,1,0,21,22,0,2000
"29097",20181204985500,20181204985501,0,23,0,1,6,0,1,81,1,3000,1000,0,1,0,21,22,0,173
"29098",20181204985500,20181204985502,0,54,0,1,4,1,1,73,1,55100,55000,0,1,0,21,22,0,865
"29111",20181204975200,20181204975201,NA,48,1,1,4,0,1,73,1,36518,36000,0,1,0,21,22,0,330
"29119",20171205091700,20171205091701,NA,66,0,1,1,0,1,111,1,225307,125000,0,1,0,21,22,0,2404
"29120",20171205091700,20171205091702,NA,63,1,1,1,0,1,81,1,28704,25000,0,1,0,21,22,1,1625
"29122",20181204968600,20181204968601,0,26,1,1,6,0,1,111,1,24130,24000,0,1,0,28,28,1,692
"29123",20181204968600,20181204968602,0,29,0,1,6,0,1,92,1,28500,28500,0,0,0,21,22,0,462
"29131",20181204956400,20181204956401,0,69,1,2,4,0,1,73,1,15431,3000,0,0,0,21,22,0,158
"29134",20171205010200,20171205010201,0,52,0,1,4,0,1,111,1,84470,66000,0,1,0,27,27,1,923
"29147",20181204951100,20181204951102,NA,60,0,1,1,1,1,73,1,37001,37000,0,1,0,21,22,0,1115
"29152",20171205020900,20171205020901,NA,47,0,1,1,0,1,123,1,255427,240000,0,1,0,21,22,0,1461
"29154",20171205020900,20171205020904,NA,17,1,1,6,0,1,50,1,4905,4900,0,1,0,21,22,0,90
"29179",20181204909700,20181204909701,0,40,0,6,6,0,1,125,1,64702,64000,0,1,0,27,22,0,1365
"29227",20181204909400,20181204909401,NA,62,0,1,5,0,1,73,1,40001,40000,0,1,0,21,22,1,712
"29229",20181204909400,20181204909403,NA,42,0,1,4,0,1,73,1,24000,24000,0,1,0,21,22,1,1310
"29231",20181204973300,20181204973301,NA,49,0,1,1,0,1,81,1,63384,62381,0,1,0,25,25,1,1199
"29233",20181204945900,20181204945901,NA,35,0,1,1,0,1,111,1,27005,27000,0,1,0,21,22,0,530
"29234",20181204945900,20181204945902,NA,35,1,1,1,0,1,81,1,53005,53000,0,1,0,21,22,0,560
"29238",20171205007400,20171205007403,NA,39,0,6,1,0,1,111,1,65316,65000,0,1,0,25,28,0,1250
"29239",20171205007400,20171205007404,NA,36,1,6,1,0,1,111,1,65351,65000,0,1,0,27,27,0,1680
"29331",20181204973800,20181204973801,NA,41,1,1,1,0,1,73,1,48075,48000,0,1,0,21,22,0,468
"29332",20181204973800,20181204973802,NA,41,0,1,1,0,1,92,1,50002,50000,0,1,0,28,28,1,950
"29361",20171205028900,20171205028901,NA,70,0,1,4,0,1,81,1,1108339,1099999,0,0,0,21,22,0,800
"29383",20181204929900,20181204929901,NA,52,1,1,1,0,1,123,1,77400,70000,0,1,0,28,28,1,1346
"29384",20181204929900,20181204929902,NA,52,0,1,1,1,1,92,1,57400,50000,0,1,0,21,22,0,962
"29385",20181204929900,20181204929903,NA,23,0,1,6,0,1,111,1,10000,10000,0,1,0,21,22,0,171
"29398",20181204940700,20181204940701,NA,61,1,2,2,0,1,111,1,42210,42000,0,1,0,28,28,0,808
"29399",20181204940700,20181204940702,NA,39,1,2,6,0,1,73,1,21000,21000,0,1,0,21,22,0,560
"29402",20171205060300,20171205060301,NA,62,1,1,1,1,1,123,1,120571,78000,0,1,0,21,22,0,1500
"29403",20171205060300,20171205060302,NA,63,0,1,1,0,1,73,1,68714,65000,0,1,0,21,22,0,1250
"29404",20171205083000,20171205083001,NA,55,1,1,1,0,1,73,1,32003,18000,0,1,0,28,28,0,346
"29409",20181204949400,20181204949401,NA,45,1,1,1,0,1,73,1,75001,75000,0,1,0,21,22,0,1885
"29488",20171205074800,20171205074802,NA,58,0,1,2,0,1,125,1,75722,75148,0,1,0,21,22,0,1510
"29489",20171205074800,20171205074803,NA,17,0,1,6,0,1,50,1,500,500,0,1,0,21,22,0,26
"29494",20181204931300,20181204931301,NA,42,0,1,6,0,1,111,1,43630,40000,0,1,0,21,22,1,2750
"29495",20181204916400,20181204916401,NA,54,0,1,1,0,1,73,1,80001,80000,0,1,0,21,22,1,1538
"29496",20181204916400,20181204916402,NA,53,1,1,1,0,1,73,1,40505,40000,0,1,0,21,22,0,740
"29497",20181204916400,20181204916403,NA,26,0,1,6,0,1,73,1,41601,40000,0,1,0,21,22,0,720
"29498",20181204954800,20181204954801,NA,37,0,1,1,0,1,123,1,109002,109000,0,1,0,28,28,0,2096
"29499",20181204954800,20181204954802,NA,34,1,1,1,0,1,111,1,55001,55000,0,1,0,21,22,0,228
"29504",20171205044300,20171205044301,NA,31,0,1,1,0,1,92,1,76001,75000,0,1,0,21,22,0,1365
"29505",20171205044300,20171205044302,NA,30,1,1,1,0,1,73,1,20001,20000,0,1,0,21,22,0,468
"29507",20171205071800,20171205071801,NA,54,0,1,1,0,1,111,1,110070,110000,0,1,0,21,22,0,731
"29546",20171205005000,20171205005004,NA,27,1,1,6,0,1,111,1,45060,45000,0,1,0,21,22,1,865
"29547",20171205005000,20171205005003,NA,24,0,1,6,0,1,111,1,31017,31002,0,1,0,21,22,0,600
"29569",20171205039000,20171205039001,NA,47,0,1,4,0,1,111,1,75211,75000,0,1,0,28,28,1,1442
"29570",20171205039000,20171205039003,NA,19,1,1,6,0,1,73,1,11400,10400,0,1,0,21,22,0,200
"29572",20171205039000,20171205039006,NA,30,1,1,4,0,1,71,1,22000,22000,0,1,0,21,22,0,664
"29611",20171205003900,20171205003901,NA,34,0,1,1,0,1,81,1,35003,35000,0,1,0,21,22,0,1500
"29626",20171205064200,20171205064202,NA,48,0,1,1,0,1,111,1,85724,85000,0,1,0,21,22,0,1600
"29635",20181204954700,20181204954701,NA,55,0,1,1,0,1,111,1,120053,120000,0,1,0,21,22,0,2308
"29637",20181204954700,20181204954703,NA,26,0,1,6,0,1,111,0,647,0,0,1,0,21,0,0,1153
"29638",20171205041300,20171205041301,NA,52,1,1,1,0,1,111,1,53311,22000,0,1,0,21,22,0,700
"29639",20171205041300,20171205041302,NA,54,0,1,1,0,1,73,1,52950,52700,0,1,0,21,22,1,1250
"29644",20181204912600,20181204912601,NA,30,0,1,6,0,1,81,1,67615,67500,0,1,0,21,22,0,1298
"29673",20181204950600,20181204950601,NA,51,1,1,1,0,1,111,1,150115,150000,0,1,0,21,22,0,1635
"29674",20181204950600,20181204950602,NA,57,0,1,1,0,1,111,1,121100,118000,0,1,0,21,22,0,2500
"29675",20181204950600,20181204950606,NA,21,1,1,6,0,1,91,1,48000,48000,0,1,0,21,22,0,400
"29676",20181204950600,20181204950605,NA,20,0,1,6,0,1,73,1,50000,50000,0,1,0,21,22,0,800
"29677",20181204950600,20181204950604,NA,19,0,1,6,0,1,73,1,22000,22000,0,1,0,21,22,0,300
"29694",20171205010800,20171205010802,NA,39,0,1,4,0,1,111,1,250005,250000,0,1,0,21,14,0,2885
"29698",20171205002800,20171205002801,NA,31,1,1,1,0,1,111,1,82180,82000,0,1,0,21,22,0,1500
"29699",20171205002800,20171205002802,NA,31,0,1,1,1,1,123,1,100597,59000,0,1,0,21,22,0,808
"29709",20171205079800,20171205079801,NA,62,1,1,1,0,1,123,1,50000,50000,0,1,0,21,22,0,962
"29710",20171205079800,20171205079802,NA,63,0,1,1,0,1,123,1,5000,5000,0,1,0,21,22,0,96
"29738",20181204996400,20181204996402,0,46,0,3,1,0,1,73,1,100002,100000,0,1,0,21,22,0,1923
"29741",20181204881900,20181204881901,NA,33,0,1,6,0,1,111,1,93055,93000,0,1,0,21,22,0,1600
"29742",20181204881900,20181204881902,NA,32,1,1,6,0,1,111,1,58000,58000,0,1,0,21,22,0,865
"29766",20171205078500,20171205078501,NA,54,1,1,1,0,1,123,1,83195,83000,0,1,0,21,22,0,1384
"29767",20171205078500,20171205078502,NA,55,0,1,1,0,1,111,1,85015,75000,0,1,0,21,22,0,1538
"29768",20171205078500,20171205078504,NA,21,0,1,6,0,1,81,1,6850,800,0,1,0,27,27,0,120
"29786",20181204998600,20181204998601,0,28,1,1,1,0,1,81,1,40001,40000,0,1,0,21,22,0,865
"29787",20181204998600,20181204998602,0,31,0,1,1,0,1,111,1,44400,42000,0,1,0,21,22,0,808
"29823",20181204886900,20181204886901,0,25,1,2,6,0,1,73,1,12660,6660,0,0,1,28,22,0,432
"29843",20171205068000,20171205068001,NA,26,0,1,1,1,1,73,1,75800,74800,0,1,0,21,22,0,656
"29844",20171205068000,20171205068002,NA,29,1,1,1,0,1,73,1,27010,27000,0,1,0,21,22,0,350
"29845",20181204964700,20181204964701,NA,38,0,1,1,0,1,125,1,251850,230000,0,1,0,21,22,0,2885
"29846",20181204964700,20181204964702,NA,39,1,1,1,0,1,125,1,279225,258700,0,1,0,21,22,0,2885
"29855",20181204876100,20181204876101,0,41,0,1,6,0,1,73,1,26000,26000,0,0,0,21,22,0,500
"29856",20181204876100,20181204876102,0,35,1,1,6,0,1,81,1,18002,18002,0,1,0,21,22,0,792
"29924",20171205005800,20171205005801,NA,26,0,1,1,0,1,111,1,95000,95000,0,0,0,21,22,0,750
"29925",20171205005800,20171205005802,NA,26,1,1,1,0,1,111,1,90100,90000,0,1,0,21,22,0,692
"29939",20171205071400,20171205071401,NA,58,0,1,1,0,1,123,1,124500,100000,0,1,0,21,22,0,1240
"29940",20171205071400,20171205071402,NA,61,1,1,1,0,1,123,1,86188,73000,0,1,0,21,22,1,1404
"30017",20181204938600,20181204938601,NA,55,0,1,4,1,1,73,1,52200,48000,0,1,0,21,22,1,1292
"30026",20171204975500,20171204975501,0,26,0,1,1,0,1,125,1,27161,27000,0,1,0,21,22,0,1154
"30027",20171204975500,20171204975502,0,26,1,3,1,0,1,125,1,67161,27000,0,1,0,21,22,0,1154
"30029",20181204888800,20181204888802,NA,44,0,1,6,0,1,111,1,35800,35000,0,1,0,21,22,0,733
"30054",20181204935900,20181204935901,NA,37,0,1,1,0,1,92,1,60860,60000,0,1,0,21,22,0,1275
"30055",20181204935900,20181204935902,NA,42,1,1,1,0,1,92,1,50500,50000,0,1,0,21,22,0,1000
"30078",20171205029300,20171205029301,0,23,1,1,6,0,1,73,1,15000,15000,0,1,0,21,22,0,166
"30096",20171205080600,20171205080601,NA,62,0,1,1,0,1,123,1,121100,118000,0,1,0,21,22,0,2308
"30097",20171205080600,20171205080602,NA,61,1,1,1,0,1,123,1,37502,35000,0,1,0,21,22,0,692
"30098",20171205080600,20171205080603,NA,30,0,1,6,0,1,81,1,22000,22000,0,1,0,21,22,0,442
"30099",20171205073200,20171205073201,NA,41,0,1,1,0,1,73,1,38000,38000,0,0,0,21,22,0,400
"30101",20171205073200,20171205073209,NA,23,0,1,6,0,1,92,1,41600,41600,0,0,1,21,22,0,52
"30102",20171205073200,20171205073208,NA,21,1,1,6,0,1,81,1,23800,23000,0,0,0,21,22,0,184
"30119",20171205060900,20171205060901,NA,76,0,1,6,0,1,73,1,17097,10000,0,0,0,21,22,0,192
"30155",20181204919700,20181204919702,NA,49,1,1,1,0,1,111,1,20000,20000,0,0,0,21,22,0,288
"30176",20181204882000,20181204882002,NA,60,0,1,1,0,1,81,1,55452,47786,0,1,0,21,22,0,2500
"30178",20171205030800,20171205030801,NA,56,0,1,1,0,1,30,1,40000,40000,0,0,1,21,22,1,560
"30180",20171205030800,20171205030806,NA,26,1,1,6,0,1,81,1,67000,67000,0,1,0,21,22,0,550
"30186",20171205052200,20171205052201,NA,56,0,2,1,1,1,81,1,56212,56000,0,1,0,25,25,1,630
"30200",20181204967600,20181204967603,NA,48,1,1,6,0,1,111,1,31200,30000,0,1,0,21,22,0,450
"30201",20181204879300,20181204879301,NA,35,1,2,6,0,1,111,1,48011,48000,0,1,0,25,25,1,1000
"30213",20190204899600,20190204899601,0,67,0,1,1,0,1,111,1,277470,250000,0,1,0,21,22,0,2885
"30214",20190204899600,20190204899602,0,60,1,1,1,0,1,73,1,35535,35000,0,1,0,28,28,0,553
"30216",20181204994900,20181204994901,NA,74,1,1,4,0,1,73,1,60411,40000,0,1,0,21,22,0,756
"30233",20181204947700,20181204947702,0,25,0,1,6,0,1,73,1,32000,32000,0,1,0,21,22,0,680
"30234",20181204947700,20181204947703,0,25,1,1,6,0,1,81,1,25500,24000,0,1,0,25,22,0,500
"30235",20181204947700,20181204947704,0,25,0,1,6,0,1,73,1,39315,38000,0,1,0,21,22,0,640
"30254",20171205061600,20171205061601,0,29,0,1,1,0,1,111,1,136214,130000,0,1,0,21,22,0,2500
"30255",20171205061600,20171205061602,0,30,1,1,1,0,1,111,1,41154,1152,0,1,0,21,22,0,192
"30284",20181204882400,20181204882401,NA,47,1,2,1,0,1,123,1,50655,50000,0,1,0,28,28,0,1154
"30285",20181204882400,20181204882402,NA,56,0,2,1,0,1,111,1,40035,40000,0,1,0,21,22,0,769
"30401",20171205015700,20171205015701,NA,69,1,1,5,0,1,111,1,70606,40000,0,0,0,21,22,0,900
"30432",20181204951700,20181204951701,NA,48,1,1,1,0,1,81,1,80010,80000,0,1,0,21,28,1,440
"30433",20181204951700,20181204951702,NA,50,0,1,1,0,1,81,1,260200,260000,0,1,0,21,22,0,2885
"30435",20181204951700,20181204951703,NA,16,0,1,6,NA,1,50,1,10000,10000,0,1,0,21,22,0,128
"30453",20171205059400,20171205059401,NA,32,1,1,1,0,1,123,1,90529,92000,0,1,0,28,28,1,1800
"30454",20171205059400,20171205059402,NA,33,0,1,1,1,1,91,1,167040,167000,0,1,0,25,25,1,420
"30457",20171205001300,20171205001302,NA,70,0,1,1,0,1,91,1,121641,77000,0,1,0,21,22,0,1192
"30458",20171205001300,20171205001303,NA,46,0,1,6,0,1,73,1,40000,40000,0,1,0,21,22,0,1200
"30476",20171205027500,20171205027501,NA,54,0,1,1,0,1,73,1,40502,40000,0,1,0,21,22,0,800
"30477",20171205027500,20171205027502,NA,54,1,1,1,0,1,81,1,10400,10400,0,1,0,21,22,0,200
"30484",20181204977500,20181204977501,NA,53,0,1,1,0,1,111,1,189163,180000,0,1,0,21,22,0,2115
"30485",20181204977500,20181204977502,NA,53,1,1,1,0,1,81,1,13182,12000,0,1,0,21,22,0,1730
"30533",20171205067800,20171205067801,NA,60,0,1,1,0,1,81,1,75125,65000,0,1,0,21,22,0,1250
"30535",20171205030000,20171205030001,NA,50,0,1,1,1,1,91,1,103833,80000,0,1,0,21,22,0,1538
"30536",20171205030000,20171205030002,NA,44,1,1,1,0,1,91,1,40000,35000,0,1,0,21,22,0,673
"30537",20171205030000,20171205030004,NA,24,0,1,6,0,1,92,1,12000,12000,0,1,0,21,22,1,231
"30538",20171205030000,20171205030003,NA,22,1,1,6,0,1,92,1,13000,13000,0,1,0,21,22,0,250
"30548",20181204966000,20181204966001,0,25,0,1,6,0,1,73,1,34006,34000,0,1,0,21,22,0,680
"30549",20181204966000,20181204966002,0,52,1,1,4,0,1,73,1,35002,35000,0,1,0,21,22,0,600
"30553",20181204931700,20181204931702,NA,63,0,1,1,0,1,73,1,70001,70000,0,1,0,21,22,0,1346
"30555",20181204985100,20181204985102,NA,60,1,1,1,0,1,111,1,53024,51020,0,1,0,21,22,0,981
"30556",20181204985100,20181204985103,NA,30,0,1,6,0,1,73,1,15017,15000,0,1,1,21,22,0,288
"30585",20181204917800,20181204917801,0,54,0,1,6,0,1,73,1,56333,55000,0,1,0,21,22,1,1058
"30593",20181204971700,20181204971701,NA,60,1,1,4,0,1,81,1,86900,75000,0,1,0,21,22,0,1442
"30612",20181204960600,20181204960601,NA,42,0,1,6,0,1,73,1,65000,65000,0,1,0,21,14,1,400
"30613",20181204960600,20181204960603,NA,38,1,1,6,0,1,92,1,42772,37000,0,1,0,21,22,0,600
"30651",20171205004400,20171205004401,NA,49,1,1,4,0,1,92,1,1000000,1000000,0,1,0,21,22,0,396
"30653",20171205038500,20171205038501,NA,68,0,1,4,1,1,111,1,34672,16800,0,0,0,21,22,0,373
"30654",20171205036400,20171205036401,NA,30,0,1,1,0,1,81,1,63012,63000,0,1,0,28,28,1,908
"30658",20181204986000,20181204986002,NA,34,1,1,6,0,1,111,1,41222,32000,0,1,0,21,22,0,715
"30682",20171205047000,20171205047002,NA,21,0,1,6,0,1,81,1,3704,3000,0,1,0,21,22,0,40
"30687",20181204914000,20181204914002,NA,21,1,1,6,0,1,81,1,10000,10000,0,1,0,21,22,0,200
"30727",20171205006100,20171205006101,NA,60,0,6,1,0,1,111,1,201000,200000,0,1,0,21,22,0,2885
"30777",20181204934200,20181204934201,NA,35,0,1,1,0,1,73,1,39020,39000,0,1,0,21,22,0,750
"30778",20181204934200,20181204934202,NA,38,1,1,1,0,1,111,1,80000,80000,0,1,0,21,22,0,1200
"30792",20171205019000,20171205019001,NA,18,0,1,6,0,1,60,1,5800,5800,0,1,0,21,22,0,111
"30793",20171205019000,20171205019003,NA,54,0,1,1,0,1,73,1,71001,70000,0,1,0,21,22,0,1300
"30805",20190204918200,20190204918202,NA,43,0,1,1,1,1,81,1,83044,83000,0,1,0,21,22,0,1840
"30836",20181204871800,20181204871801,NA,71,1,1,6,0,1,73,1,61335,45000,0,1,0,21,22,0,865
"30866",20181204920500,20181204920501,NA,43,1,1,1,0,1,123,1,11331,10000,0,1,0,21,22,0,200
"30867",20181204920500,20181204920502,NA,44,0,1,1,0,1,123,1,184631,180000,0,1,0,21,22,0,2885
"30871",20181204959500,20181204959501,NA,35,0,1,1,0,1,111,1,90006,80000,0,1,0,21,22,0,1538
"30872",20181204959500,20181204959502,NA,34,1,1,1,0,1,111,1,125002,110000,0,1,0,21,22,0,2115
"30880",20181204941900,20181204941901,0,38,0,6,1,0,1,111,1,81000,80000,0,1,0,21,22,0,1538
"30881",20181204941900,20181204941902,0,36,1,6,1,0,1,111,1,80003,80000,0,1,0,21,22,0,1538
"30882",20181204939800,20181204939801,NA,55,1,1,4,0,1,91,1,79295,79000,0,1,0,21,22,0,1519
"30898",20171205001400,20171205001402,NA,60,1,1,1,0,1,123,1,110628,110000,0,1,0,21,22,0,2000
"30899",20171205001400,20171205001403,NA,27,0,2,6,0,1,111,1,28005,28000,0,1,0,21,22,0,450
"30900",20171205001400,20171205001404,NA,25,1,1,6,0,1,111,1,14000,6000,0,1,0,21,22,0,150
"30908",20171205012600,20171205012602,0,55,1,1,4,0,1,73,1,25600,24900,0,1,0,21,22,0,553
"30909",20171205012600,20171205012604,0,24,0,1,6,0,1,73,1,22000,22000,0,0,0,21,22,0,800
"30918",20181204895700,20181204895701,NA,25,1,1,6,0,1,111,1,54900,35000,0,1,0,27,27,1,649
"30919",20181204895700,20181204895702,NA,24,0,1,6,0,1,111,1,36000,2000,0,1,0,27,27,0,432
"30928",20171205078300,20171205078301,NA,51,1,1,1,0,1,111,1,73010,68000,0,1,0,21,22,0,1308
"30929",20171205078300,20171205078302,NA,50,0,1,1,0,1,73,1,67001,67000,0,1,0,21,22,0,808
"30930",20171205045700,20171205045701,0,36,0,1,1,1,1,111,1,67810,66000,0,1,0,21,22,0,1240
"30931",20171205045700,20171205045702,0,37,1,1,1,0,1,81,1,53700,53000,0,1,0,21,22,0,1731
"30955",20181204940800,20181204940801,NA,42,1,1,4,0,1,111,1,106540,99000,0,1,0,21,22,0,1731
"30995",20171205072700,20171205072701,0,34,0,1,1,0,1,73,1,42002,42000,0,1,0,21,22,0,923
"31046",20181204875600,20181204875601,1,49,0,2,2,0,1,73,1,35000,35000,0,1,0,21,22,0,500
"31047",20181204875600,20181204875602,1,20,0,2,6,0,1,73,1,40000,40000,0,0,0,21,22,0,200
"31082",20181204893400,20181204893401,0,33,1,2,6,0,1,73,1,47625,45000,0,1,0,21,22,0,800
"31086",20181204872700,20181204872701,NA,34,0,1,1,0,1,111,1,68251,66450,0,1,0,21,22,0,1146
"31109",20171204988800,20171204988801,0,19,1,1,6,0,1,60,1,20000,20000,0,0,0,21,22,0,385
"31263",20181204933500,20181204933501,NA,37,0,1,1,0,1,73,1,20278,20000,0,0,1,28,28,1,649
"31270",20181204975000,20181204975002,NA,64,1,1,1,0,1,111,0,8001,0,0,1,0,21,0,0,146
"31271",20181204997700,20181204997701,NA,32,0,1,1,1,1,73,1,64424,56000,0,1,0,21,22,0,947
"31272",20181204997700,20181204997702,NA,26,1,1,1,0,1,73,1,29308,28000,0,1,0,21,22,0,540
"31290",20181204926900,20181204926901,NA,53,1,1,4,0,1,73,1,64681,43300,0,1,0,21,22,0,833
"31291",20181204926900,20181204926903,NA,21,1,1,6,0,1,73,1,49321,49320,0,1,0,21,22,0,250
"31295",20181204954400,20181204954401,0,42,0,1,1,0,1,81,1,196650,195000,0,1,0,21,22,0,2827
"31305",20171205002000,20171205002002,NA,57,0,1,1,0,1,73,1,70005,28000,0,1,0,21,22,1,620
"31308",20181204957500,20181204957502,0,47,1,2,1,0,1,73,1,28850,18200,0,1,0,21,22,0,300
"31378",20171205076600,20171205076601,NA,39,0,1,1,0,1,73,1,41600,41600,0,1,0,21,22,0,1200
"31379",20171205076600,20171205076602,NA,44,1,1,1,0,1,123,1,110000,110000,0,1,0,21,22,0,1384
"31382",20171205004200,20171205004201,NA,57,0,1,4,0,1,73,1,31000,31000,0,1,0,21,22,0,600
"31383",20171205039400,20171205039401,NA,45,1,1,1,0,1,111,1,13504,13500,0,1,0,21,22,0,350
"31384",20171205039400,20171205039402,NA,46,0,1,1,0,1,111,1,164400,163800,0,1,0,21,25,0,1360
"31385",20171205039400,20171205039407,NA,17,1,1,6,0,1,50,1,8000,8000,0,1,0,21,22,0,90
"31425",20181204962100,20181204962101,NA,42,1,1,4,0,1,111,1,17010,17000,0,0,1,21,22,0,288
"31437",20181204911700,20181204911702,NA,65,0,1,1,0,1,124,1,605952,610000,0,1,0,21,22,0,2885
"31454",20181204972400,20181204972402,NA,40,1,1,1,0,1,123,1,302505,270000,0,1,0,21,22,0,2885
"31482",20181204976300,20181204976301,NA,24,1,1,1,0,1,123,1,58001,58000,0,1,0,25,25,0,2885
"31483",20181204976300,20181204976302,NA,55,0,1,1,0,1,123,1,52001,52000,0,1,0,25,25,0,2885
"31484",20181204938800,20181204938801,NA,31,0,1,1,0,1,125,1,97010,97000,0,1,0,25,25,0,2000
"31502",20181204911000,20181204911001,NA,49,0,1,5,0,1,123,1,81623,81600,0,1,0,25,25,1,1700
